company_name,job_title,location,page_number,posted_time,search_keyword,technologies,years_of_experience
Naba Soft ,Software Tester,Nasr City,2,19 days,software,"·, Information Technology (IT), Quality Control, Tester, Computer Science",
Ultimate Solutions Egypt,Senior Software Tester,Sheikh Zayed,2,19 days,software,"·, Computer Science, Information Technology (IT), Selenium, API",
Nacita,Full-stack Software Engineer,Cairo,2,21 days,software,"·, full-stack engineer, angular, Agile, Java, nodejs, Kubernetes, Google Cloud",
Alfa Software,Odoo Developer,Hurghada,2,,python,"·, Odoo, Odoo Development, Odoo ERP, Computer Science, Information Technology (IT)",
OTIC,Python Backend Developer – AI & Chatbots,New Cairo,2,2 months,python,"·, Database, Computer Science, Azure, APIs, Software Development, Oracle, Django",
softprimes,Odoo Developer (80% Remote),Nasr City,2,8 days,python,"·, HTML5, Software Development, Full Stack, Odoo",
Algoriza,Senior Devops Engineer,Giza,2,9 days,python,"·, Azure, AWS, Cloud, Computer Science, DevOps, Docker, Engineering, Information Technology (IT)",
Lumin,Senior AI Engineer,Sheikh Zayed,2,9 days,python,"·, AI, Artificial Intelligence, Computer Vision, Machine Learning, TensorFlow, Computer Science, Programming, PyTorch",
Smicolon GmbH,Senior Full Stack Engineer,Munich,2,11 days,python,"·, Full Stack, Git, Computer Science, APIs, Information Technology (IT), Java, JavaScript",
Kandil Industries,Odoo Developer,Nasr City,2,,python,"·, Odoo, Information Technology (IT), Computer Science",
softprimes,Odoo Sales Account Manager,Nasr City,2,,python,"·, Odoo, B2B Sales, B2B, Business Development, Negotiation, Sales Target, CRM",
أكاديمية ابداع للتدريب والاستشارات (Ibdaa Academy),Engineer-,Fleming,2,14 days,python,"·, Computer Science, Engineering, Information Technology (IT), Arduino, Teaching, Development, Software Development",
MEAHCO Saudi German Health,Value-Based Healthcare Analytics Specialist,Maadi,2,18 days,python,"·, SQL, SAS, Tableau, Power BI, QlikView, Microsoft Excel, Microsoft Azure, AWS",
Confidential,Financial Analyst,Cairo,2,10 days,python,"·, Accounting, Commerce, Analyst, Analysis, Finance, Financial Analysis, Planning",
Cultiv,IoT/PCB Lab Specialist - ASSUIT,New Assuit,2,15 days,python,"·, EAGLE, Altium, Proteus, Electrical Engineering, C, Electronics, Embedded Systems, Hardware, IOT",
Cultiv,IoT /PCB Lab Specialist - BORG,Bourj Alarab,2,15 days,python,"·, EAGLE, Altium, Proteus, Electrical Engineering, Embedded Systems, Hardware, IOT, PCB",
34ML,Cloud Infrastructure Engineer,Heliopolis,2,11 days,python,"·, Software Development, Information Technology (IT), Web Development, Computer Engineering, Software Engineering, PHP, Laravel, Image Recognition",
Quantanite,AI Engineer,Maadi,2,18 days,python,"·, AI, Algorithms, Computer Science, Information Technology (IT), Engineering, Software",
Alshaya,Senior Manager - Data Analytics,Nasr City,2,,Data engineer,"·, CRM, Quantitative Research, Commercial Analysis, Performance Measurement, Loyalty Programme, Performance Analytics, Loyalty Programme Analytics",
Citylogix ME  ,Pavement Assessment Engineer,New Cairo,2,,Data engineer,"·, Roads, QA, Highways",
Marmonil Marble & Granite,Quality Engineer,Katameya,2,,Data engineer,"·, Quality Assurance, quality, Quality Control, ISO, ISO 9001",
Quantanite,AI Engineer,Maadi,2,18 days,Data engineer,"·, AI, Algorithms, Computer Science, Information Technology (IT), Python, Software",
Pure Group ,AI Engineer,Cairo,2,,Data engineer,"·, AI, LMS, FFT, Python, Frameworks, PyTorch, TensorFlow, NLP",
Bouri Group,Process Engineer (Plastic Injection Molding),New Cairo,2,8 days,Data engineer,"·, Process Improvement, Mechanical, Industrial, plastic injection, Injection molding, Plastic Injection Molding",
Softec Technologies,Software Application Support Engineer,Maadi,2,9 days,Data engineer,"·, Technical Support, Information Technology (IT), Computer Science, Troubleshooting, Networking, English",
CSCEC International Facade Egypt Co Ltd,Planner Engineer,Alamein,2,,Data engineer,"·, Construction, Analysis, Planning, Management",
Better Home,Sales Engineer - Ready Mix Concrete,New Cairo,2,,Data engineer,"·, Communication, Negotiation, Sales, sales skills, Sales Target",
Amer Vision Group,Technical Office Civil Engineer,Sheraton,2,,Data engineer,"·, Civil, AutoCAD, Management, Time Management, Projects",
GLC Paints,Surveying and Drawing Engineer,Obour City,2,11 days,Data engineer,"·, 3D, Architecture, AutoCAD, Civil, Communication, Drawing",
Scope IMS,Sales Engineer,Heliopolis,2,9 days,Data engineer,"·, Sales, Business Development, sales skills, Account Management, Electrical, Marketing",
Hamza Group,Sales Engineer,Dokki,2,8 days,Data engineer,"·, CRM, Communication, English, Mechanical, Microsoft Office, Pumps",
Confidential,Reliability Engineer,Alexandria,2,,Data engineer,"·, Management, Reliability, Maintenance, Docker, Azure, AWS",
Super Pack for Engineering Industries,Design Engineer,6th of October,2,,Data engineer,"·, Computer Science, CAD, CAD Software, Design, Information Technology (IT), Mechanical",
Nacita,Quality Software Engineer,Giza,3,21 days,software,"·, Agile, Computer Science, Engineering, Information Technology (IT), Programming, Java",
Amit Learning,Software Testing Instructor,Maadi,3,22 days,software,"·, Selenium, Automation, Java, Testing, ISTQB, JavaScript",
eVision,Software Developer,New Cairo,3,22 days,software,"·, APIs, Computer Science, Java, RESTful, SQL, Engineering",
Sourcya,Software Project Manager,Alexandria,3,17 days,software,"·, Microsoft Project, Project Management, Agile, Scrum, Asana, Trello, Negotiation, Computer Science",
Off-Beat,Junior Embedded Software Engineer,Heliopolis,3,24 days,software,"·, Programming, Embedded Systems, Computer Science",
Specialized Seamless Services ,Software Engineer,Cairo,3,24 days,software,"·, CCNA, mssa, Radiology Information System, Computer Science, Information Technology (IT), SQL",
Confidential,"Software Engineer "" Website Back End """,Maadi,3,23 days,software,"·, Computer Science, Information technology, Information Technology (IT), Odoo, English, back-end",
realme,Software Testing Engineer,New Cairo,3,26 days,software,"·, Communication, Information Technology (IT), Engineering, Testing, Electronics",
compsoft,AI & Software Trainer,Giza,3,25 days,software,"·, Computer Science, Information Technology (IT), AI, Big Data",
Aureka,Software Developer,Nasr City,3,1 month,software,"·, ASP.Net, JavaScript, Java, HTML, Python, CSS",
Confidential,Software Tester,Dokki,3,1 month,software,"·, Test, tester, Testing, Information Technology (IT), Computer Science",
Efada Technology,"Software Developer ""Outsourced Cash team""",6th of October,3,1 month,software,"·, Agile, Information Technology (IT), Java, Computer Science, Agile Methodology, AWS, Cloud",
Efada Technology,"Software Developer ""Outsourced""",6th of October,3,1 month,software,"·, Computer Science, Information Technology (IT), Java, Design, Spring, RabbitMQ",
InaWaks,Frontend Developer,Cairo,2,1 month,frontend,"·, React, JavaScript, Information Technology (IT), HTML, CSS, Web Development, Software Development",
MIBA LLC,Full-Stack Developer (Front-End & Back-End),10th of Ramadan City,2,1 month,frontend,"·, c++, CSS, HTML, MongoDB, Python, Node.js, JavaScript",
النورس للتجاره ,Senior Frontend Developer,New Nozha,2,1 month,frontend,"·, Angular, Computer Science, Design, Git, CSS, HTML, Information Technology (IT), JavaScript, React",
